,Unnamed: 0,player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id,first_match_date,last_match_date
14657,14657,214656,Milica,Cubranovic,U,19970711.0,SRB,,,2015-10-19,2015-10-19
14658,14658,214657,Lana,Slavica,R,19971214.0,CRO,,,2016-04-25,2016-04-25
14659,14659,214658,Lusine,Avanesyan,U,19971004.0,RUS,,,2014-06-23,2016-08-15
14660,14660,214659,Anastasia,Ushakova,U,19990420.0,RUS,,,2014-09-01,2014-09-01
14661,14661,214660,Katarina,Kozarov,U,19980501.0,SRB,,Q66712684,2019-07-29,2024-02-05
14662,14662,214661,Tatiana,Rico Viana,U,19960822.0,ESP,,,2014-06-23,2014-06-23
14663,14663,214662,Olga,Esteve Mendez,U,19980708.0,ESP,,,2014-08-11,2017-08-14
14664,14664,214663,Diana,Santillan Fernandez,U,19861024.0,ESP,,,2014-06-23,2014-06-23
14665,14665,214664,Ana Maria,Carrion Rodriguez,U,19970813.0,ESP,,,2014-06-23,2014-06-23
14666,14666,214665,Emma,Alos Chiquillo,U,19980505.0,ESP,,,2014-06-23,2014-06-23
14667,14667,214666,Alisa,Rudenko,R,19971021.0,RUS,,,2015-06-15,2015-06-15
14668,14668,214667,Paula,Veza,U,19940906.0,ESP,,,2014-08-04,2015-10-12
14669,14669,214668,Marine,Fontaine,U,19950611.0,FRA,,,2013-04-01,2014-06-30
14670,14670,214669,Zoe Adeline,Katz,U,19941217.0,USA,,,2014-06-30,2014-06-23
14671,14671,214670,Maria,Tritou,R,19961020.0,GRE,,,2014-06-30,2014-06-30
14672,14672,214671,Beatriz Rodrigues,Bento,U,19980515.0,POR,,,2014-06-23,2015-04-20
14673,14673,214672,Lily,Reynolds,U,19991001.0,GBR,,,2014-06-23,2014-06-23
14674,14674,214673,Maria,Tavares,U,19970928.0,POR,,,2014-06-23,2015-04-20
14675,14675,214674,Yuqi,Sheng,U,19960103.0,CHN,,Q22957694,2014-10-27,2019-07-29
14676,14676,214675,Midori,Yamamoto,U,19930120.0,JPN,,,2015-05-18,2015-05-18
14677,14677,214676,Ayumi,Mori,U,19960227.0,JPN,,,2014-06-23,2014-06-23
14678,14678,214677,Sujin,Yoon,U,19950727.0,KOR,,,2015-06-22,2015-06-22
14679,14679,214678,Eunji,Lim,U,19971018.0,KOR,,,2019-05-13,2024-09-30
14680,14680,214679,Sunam,Jeong,U,19960606.0,KOR,,Q40428019,2014-12-22,2024-05-27
14681,14681,214680,Ji Min,Park,U,20000304.0,KOR,,,2022-05-30,2024-05-20
14682,14682,214681,Ji Yun,Yun,U,19960316.0,KOR,,,2014-06-30,2014-06-30
14683,14683,214682,Peeraya,Charoensirisutthikul,R,19950202.0,THA,,,2014-06-30,2014-06-30
