,Unnamed: 0,player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id,first_match_date,last_match_date
62674,62674,210390,Lakshya,Gupta,U,20000929.0,IND,,,2021-11-22,2021-11-22
62675,62675,210391,Arthav,Neema,U,20010320.0,IND,,,2021-11-22,2024-05-20
62676,62676,210392,Jose Luis,Rojas,U,19970129.0,MEX,,,2021-11-22,2021-11-22
62677,62677,210393,Maxim,Zhukov,R,20050130.0,RUS,,,2021-11-22,2024-09-02
62678,62678,210394,Nikita,Ianin,U,20010907.0,RUS,,,2022-12-05,2024-06-03
62679,62679,210395,Petr,Kapuskin,U,20020127.0,RUS,,,2021-11-22,2021-11-22
62680,62680,210396,Dmitry,Dolzhenkov,U,20040810.0,RUS,,,2024-12-16,2024-12-16
62681,62681,210397,Yamato,Sueoka,R,20030228.0,JPN,168.0,,2021-11-22,2023-08-21
62682,62682,210398,Gabriele,Pennaforti,R,20000914.0,ITA,191.0,,2022-11-28,2024-09-02
62683,62683,210399,Edward,Winter,R,20040915.0,AUS,178.0,,2021-11-22,2024-08-05
62684,62684,210400,Nicolas Rafael,Goldberg Alviani,R,20021010.0,ESP,180.0,,2022-06-06,2024-10-21
62685,62685,210401,Teun,Rozenberg,U,20030419.0,NED,,,2021-11-22,2023-06-26
62686,62686,210402,Ivan,La Cava ,U,20030331.0,ITA,,,2021-11-22,2022-11-28
62687,62687,210403,Ivan,Dreycopp,U,20030823.0,ARG,,,2021-11-29,2022-04-04
62688,62688,210404,Angel Josue,Maleno Rosario,U,20030921.0,DOM,,,2021-11-29,2023-11-13
62689,62689,210405,Azuma,Visaya,U,20030819.0,USA,,,2023-07-03,2023-07-03
62690,62690,210406,Fabian,Hansch Mauritzson,U,19960628.0,SWE,,,2021-11-29,2021-11-29
62691,62691,210407,Roberto,Miceli,U,20020503.0,ITA,,,2021-11-29,2021-12-06
62692,62692,210408,Luca,Fantini,R,20000720.0,ITA,178.0,,2021-11-29,2024-07-22
62693,62693,210409,Pavlos,Tsitsipas,R,20050723.0,GRE,196.0,,2023-11-20,2024-05-20
62694,62694,210410,Filip,Kana,R,20040619.0,CZE,,,2021-11-29,2024-04-22
62695,62695,210411,Joe,Misrahi,U,20040226.0,FRA,,,2021-12-06,2022-02-21
62696,62696,210412,Juan Manuel,La Serna,L,20040205.0,ARG,188.0,,2022-10-03,2024-11-11
62697,62697,210413,Matias,Iturbe,U,20020205.0,ARG,,,2021-12-06,2021-12-06
62698,62698,210414,Rafael,Abdul Salam,U,20010411.0,VEN,,,2021-12-06,2023-09-25
62699,62699,210415,Daniel,Baquero,U,20050114.0,DOM,,,2021-12-06,2024-08-12
62700,62700,210416,Bryce,Nakashima,U,20040220.0,USA,,,2022-05-16,2024-11-11
62701,62701,210417,Adrian,Arcon,U,20010820.0,AUS,,,2021-12-06,2024-12-09
62702,62702,210418,Josh,Reid,U,20010323.0,AUS,,,2022-01-10,2022-01-10
62703,62703,210419,Daniele,Minighini,R,20040715.0,ITA,173.0,,2021-12-06,2024-07-29
62704,62704,210420,Gheorghe Claudiu,Schinteie,U,20020313.0,ROU,,,2023-11-20,2024-08-05
62705,62705,210421,Henrique Hamamoto,Ushizima,U,20050310.0,BRA,,,2021-12-13,2021-12-13
62706,62706,210422,Roan,Jones,U,20031026.0,GBR,,,2021-12-13,2021-12-13
62707,62707,210423,Alessandro,Coccioli,U,20020805.0,ITA,,,2023-07-31,2024-07-08
62708,62708,210424,Michel,Hopp,U,19981221.0,GER,,,2021-12-13,2024-12-16
62709,62709,210425,Svyatoslav,Gulin,R,20021204.0,RUS,178.0,,2021-12-13,2024-12-09
